Time,Vin,Filtre1,Filtre2,Cnt,Cnt1,Cnt2
105.0,2122,2121,2121,11326,5210,4963
105.5,2192,2192,2191,11373,5217,4969
106.0,2289,2290,2290,11435,5233,4976
106.5,2409,2409,2409,11482,5242,4983
107.0,2653,2650,2649,11554,5261,4998
107.5,2871,2868,2868,11598,5275,5012
108.0,2898,2897,2896,11666,5279,5014
108.5,2913,2913,2913,11737,5288,5021
109.0,2917,2914,2914,11751,5288,5021
109.5,2915,2915,2915,11755,5288,5021
110.0,2913,2915,2915,11759,5288,5021
110.5,2916,2915,2915,11761,5288,5021
111.0,2915,2915,2915,11769,5288,5021
111.5,2914,2914,2914,11773,5288,5021
112.0,2911,2912,2912,11786,5288,5021
112.5,2532,2544,2548,11860,5315,5046
113.0,2559,2558,2558,11895,5335,5066
113.5,2913,2913,2913,11963,5360,5089
114.0,2912,2913,2913,11991,5360,5089
114.5,2871,2873,2874,12072,5365,5096
115.0,2032,2034,2034,12147,5417,5148
115.5,1923,1921,1921,12242,5432,5157
116.0,1881,1881,1881,12263,5437,5160
116.5,1985,1985,1984,12312,5450,5171
117.0,2559,2554,2551,12395,5495,5210
117.5,2914,2913,2913,12457,5518,5233
118.0,2880,2881,2881,12507,5524,5241
118.5,2379,2378,2378,12590,5588,5303
119.0,2878,2876,2875,12656,5623,5338
119.5,2909,2910,2910,12748,5631,5344
120.0,2047,2055,2056,12811,5684,5397
120.5,1895,1892,1891,12892,5698,5411
121.0,1881,1881,1881,12949,5723,5436
121.5,1681,1682,1683,12999,5735,5448
122.0,1933,1931,1930,13048,5762,5475
122.5,1867,1869,1870,13104,5780,5493
123.0,1396,1403,1405,13164,5809,5522
123.5,1839,1834,1831,13236,5870,5583
124.0,1810,1817,1819,13283,5881,5594
124.5,1054,1072,1078,13344,5927,5640
125.0,1741,1735,1734,13413,5992,5705
125.5,1882,1884,1885,13476,6011,5724
126.0,912,914,916,13549,6071,5784
126.5,855,854,854,13569,6075,5788
127.0,1749,1750,1750,13646,6131,5844
127.5,859,859,859,13713,6187,5900
128.0,865,864,863,13802,6194,5904
128.5,1434,1432,1432,13873,6231,5942
129.0,867,864,864,13984,6276,5987
129.5,866,865,865,14072,6282,5991
130.0,865,864,864,14200,6296,5999
130.5,865,865,864,14294,6298,6001
131.0,864,864,864,14416,6318,6019
131.5,866,865,865,14576,6350,6041
132.0,866,864,864,14736,6368,6051
132.5,864,864,863,14868,6390,6068
133.0,865,864,864,14980,6400,6077
133.5,865,865,865,15098,6410,6081
134.0,865,865,864,15226,6416,6089
134.5,866,865,865,15354,6420,6091
135.0,865,865,865,15466,6430,6099
135.5,863,864,864,15627,6470,6127
136.0,865,864,864,15738,6476,6135
136.5,865,864,864,15848,6490,6141
137.0,864,864,864,15974,6502,6149
